step,protocol,dependencies
s00a_TrimReads,protocols/TrimReads.sh,
s00b_FastQC,protocols/FastQC.sh,s00a_TrimReads
s01_HisatAlignment,protocols/HisatAlignment.sh,s00a_TrimReads
s02_AddOrReplaceReadGroups,protocols/AddOrReplaceReadGroups.sh,s01_HisatAlignment
s03_MergeBam,protocols/MergeBam.sh,s02_AddOrReplaceReadGroups
s04_MarkDuplicates,protocols/MarkDuplicates.sh,s03_MergeBam
s05_QCStats,protocols/QCStats.sh,s04_MarkDuplicates
s06_HTSeq_count,protocols/HTSeq_count.sh,s03_MergeBam
s07a_SplitAndTrim,protocols/SplitAndTrim.sh,s04_MarkDuplicates
s07b_IndelRealignment,protocols/IndelRealignment.sh,s07a_SplitAndTrim
s07c_BQSR,protocols/BQSR.sh,s07b_IndelRealignment
s08a_GatkHaplotypeCallerGvcf,protocols/GatkHaplotypeCallerGvcf.sh,s07c_BQSR
s08b_GatkMergeGvcf,protocols/GatkMergeGvcf.sh,s08a_GatkHaplotypeCallerGvcf
s08c_GatkGenotypeGvcf,protocols/GatkGenotypeGvcf.sh,s08b_GatkMergeGvcf
s09_MakeExpressionTable,protocols/MakeExpressionTable.sh,s06_HTSeq_count
s10a_MultiQCReport,protocols/MultiQCReport.sh,s09_MakeExpressionTable;s05_QCStats
s10b_QC_Report.sh,protocols/QC_Report.sh,s09_MakeExpressionTable;s05_QCStats
s11_CopyToResultsDir,protocols/CopyToResultsDir.sh,s10_MultiQCReport;s08c_GatkGenotypeGvcf;s09_MakeExpressionTable
